sbm,pmo,data,c_adic,erro
SUL,1078.0,2024-08-01 00:00:00,1078.0,0.0
SUL,1022.0,2024-09-01 00:00:00,1022.0,0.0
SUL,1087.0,2024-10-01 00:00:00,1087.0,0.0
SUL,1207.0,2024-11-01 00:00:00,1207.0,0.0
SUL,1226.0,2024-12-01 00:00:00,1226.0,0.0
SUL,1203.0,2025-01-01 00:00:00,1203.0,0.0
SUL,1214.0,2025-02-01 00:00:00,1214.0,0.0
SUL,1178.0,2025-03-01 00:00:00,1178.0,0.0
SUL,1083.0,2025-04-01 00:00:00,1083.0,0.0
SUL,924.0,2025-05-01 00:00:00,924.0,0.0
SUL,843.0,2025-06-01 00:00:00,843.0,0.0
SUL,893.0,2025-07-01 00:00:00,893.0,0.0
SUL,1050.0,2025-08-01 00:00:00,1050.0,0.0
SUL,995.0,2025-09-01 00:00:00,995.0,0.0
SUL,1087.0,2025-10-01 00:00:00,1087.0,0.0
SUL,1207.0,2025-11-01 00:00:00,1207.0,0.0
SUL,1226.0,2025-12-01 00:00:00,1226.0,0.0
SUL,1203.0,2026-01-01 00:00:00,1203.0,0.0
SUL,1214.0,2026-02-01 00:00:00,1214.0,0.0
SUL,1178.0,2026-03-01 00:00:00,1178.0,0.0
SUL,1083.0,2026-04-01 00:00:00,1083.0,0.0
SUL,924.0,2026-05-01 00:00:00,924.0,0.0
SUL,843.0,2026-06-01 00:00:00,843.0,0.0
SUL,893.0,2026-07-01 00:00:00,893.0,0.0
SUL,1050.0,2026-08-01 00:00:00,1050.0,0.0
SUL,995.0,2026-09-01 00:00:00,995.0,0.0
SUL,1087.0,2026-10-01 00:00:00,1087.0,0.0
SUL,1207.0,2026-11-01 00:00:00,1207.0,0.0
SUL,1226.0,2026-12-01 00:00:00,1226.0,0.0
SUL,1203.0,2027-01-01 00:00:00,1203.0,0.0
SUL,1214.0,2027-02-01 00:00:00,1214.0,0.0
SUL,1178.0,2027-03-01 00:00:00,1178.0,0.0
SUL,1083.0,2027-04-01 00:00:00,1083.0,0.0
SUL,924.0,2027-05-01 00:00:00,924.0,0.0
SUL,843.0,2027-06-01 00:00:00,843.0,0.0
SUL,893.0,2027-07-01 00:00:00,893.0,0.0
SUL,1050.0,2027-08-01 00:00:00,1050.0,0.0
SUL,995.0,2027-09-01 00:00:00,995.0,0.0
SUL,1087.0,2027-10-01 00:00:00,1087.0,0.0
SUL,1207.0,2027-11-01 00:00:00,1207.0,0.0
SUL,1226.0,2027-12-01 00:00:00,1226.0,0.0
SUL,1203.0,2028-01-01 00:00:00,1203.0,0.0
SUL,1214.0,2028-02-01 00:00:00,1214.0,0.0
SUL,1178.0,2028-03-01 00:00:00,1178.0,0.0
SUL,1083.0,2028-04-01 00:00:00,1083.0,0.0
SUL,924.0,2028-05-01 00:00:00,924.0,0.0
SUL,843.0,2028-06-01 00:00:00,843.0,0.0
SUL,893.0,2028-07-01 00:00:00,893.0,0.0
SUL,1050.0,2028-08-01 00:00:00,1050.0,0.0
SUL,995.0,2028-09-01 00:00:00,995.0,0.0
SUL,1087.0,2028-10-01 00:00:00,1087.0,0.0
SUL,1207.0,2028-11-01 00:00:00,1207.0,0.0
SUL,1226.0,2028-12-01 00:00:00,1226.0,0.0
SUL,1203.0,9999-01-01 00:00:00,1203.0,0.0
SUL,1214.0,9999-02-01 00:00:00,1214.0,0.0
SUL,1178.0,9999-03-01 00:00:00,1178.0,0.0
SUL,1083.0,9999-04-01 00:00:00,1083.0,0.0
SUL,924.0,9999-05-01 00:00:00,924.0,0.0
SUL,843.0,9999-06-01 00:00:00,843.0,0.0
SUL,893.0,9999-07-01 00:00:00,893.0,0.0
SUL,1050.0,9999-08-01 00:00:00,1050.0,0.0
SUL,995.0,9999-09-01 00:00:00,995.0,0.0
SUL,1087.0,9999-10-01 00:00:00,1087.0,0.0
SUL,1207.0,9999-11-01 00:00:00,1207.0,0.0
SUL,1226.0,9999-12-01 00:00:00,1226.0,0.0
