data,fonte,submercado,patamar,sistema_orig,pat,sistema_calc,sistema,pmo,erro
2024-08-01,PCH,SUDESTE,1,1418.0,1.0364,1469.6152,1470.0,1470.0,0.0
2024-09-01,PCH,SUDESTE,1,1332.0,1.0233,1363.0356000000002,1363.0,1363.0,0.0
2024-10-01,PCH,SUDESTE,1,1573.0,1.0228,1608.8644,1609.0,1609.0,0.0
2024-11-01,PCH,SUDESTE,1,1912.0,1.0053,1922.1336000000001,1922.0,1922.0,0.0
2024-12-01,PCH,SUDESTE,1,2392.0,1.0072,2409.2224,2409.0,2409.0,0.0
2025-01-01,PCH,SUDESTE,1,2791.0,1.0022,2797.1402,2797.0,2797.0,0.0
2025-02-01,PCH,SUDESTE,1,2998.0,0.9992,2995.6016,2996.0,2996.0,0.0
2025-03-01,PCH,SUDESTE,1,2976.0,1.0023,2982.8448,2983.0,2983.0,0.0
2025-04-01,PCH,SUDESTE,1,2673.0,1.0015,2677.0095,2677.0,2677.0,0.0
2025-05-01,PCH,SUDESTE,1,2227.0,1.0151,2260.6276999999995,2261.0,2261.0,0.0
2025-06-01,PCH,SUDESTE,1,1876.0,1.0255,1923.8380000000002,1924.0,1924.0,0.0
2025-07-01,PCH,SUDESTE,1,1606.0,1.0314,1656.4284000000002,1656.0,1656.0,0.0
2025-08-01,PCH,SUDESTE,1,1433.0,1.0369,1485.8777,1486.0,1486.0,0.0
2025-09-01,PCH,SUDESTE,1,1347.0,1.0228,1377.7115999999999,1378.0,1378.0,0.0
2025-10-01,PCH,SUDESTE,1,1589.0,1.0228,1625.2292,1625.0,1625.0,0.0
2025-11-01,PCH,SUDESTE,1,1930.0,1.0053,1940.2290000000003,1940.0,1940.0,0.0
2025-12-01,PCH,SUDESTE,1,2412.0,1.0071,2429.1252000000004,2429.0,2429.0,0.0
2026-01-01,PCH,SUDESTE,1,2806.0,1.0022,2812.1731999999997,2812.0,2812.0,0.0
2026-02-01,PCH,SUDESTE,1,3006.0,0.9991,3003.2946,3003.0,3003.0,0.0
2026-03-01,PCH,SUDESTE,1,2997.0,1.0023,3003.8931,3004.0,3004.0,0.0
2026-04-01,PCH,SUDESTE,1,2692.0,1.0015,2696.038,2696.0,2696.0,0.0
2026-05-01,PCH,SUDESTE,1,2243.0,1.0153,2277.3179,2277.0,2277.0,0.0
2026-06-01,PCH,SUDESTE,1,1891.0,1.025,1938.2749999999999,1938.0,1938.0,0.0
2026-07-01,PCH,SUDESTE,1,1618.0,1.0314,1668.8052000000002,1669.0,1669.0,0.0
2026-08-01,PCH,SUDESTE,1,1444.0,1.0369,1497.2836,1497.0,1497.0,0.0
2026-09-01,PCH,SUDESTE,1,1355.0,1.0233,1386.5715000000002,1387.0,1387.0,0.0
2026-10-01,PCH,SUDESTE,1,1606.0,1.0237,1644.0622,1644.0,1644.0,0.0
2026-11-01,PCH,SUDESTE,1,1953.0,1.0053,1963.3509000000001,1963.0,1963.0,0.0
2026-12-01,PCH,SUDESTE,1,2451.0,1.0072,2468.6472000000003,2469.0,2469.0,0.0
2027-01-01,PCH,SUDESTE,1,2874.0,1.0024,2880.8976,2881.0,2881.0,0.0
2027-02-01,PCH,SUDESTE,1,3072.0,0.9993,3069.8496,3070.0,3070.0,0.0
2027-03-01,PCH,SUDESTE,1,3050.0,1.0024,3057.3199999999997,3057.0,3057.0,0.0
2027-04-01,PCH,SUDESTE,1,2740.0,1.0016,2744.384,2744.0,2744.0,0.0
2027-05-01,PCH,SUDESTE,1,2287.0,1.0153,2321.9911,2322.0,2322.0,0.0
2027-06-01,PCH,SUDESTE,1,1932.0,1.0246,1979.5272,1980.0,1980.0,0.0
2027-07-01,PCH,SUDESTE,1,1652.0,1.0318,1704.5336,1705.0,1705.0,0.0
2027-08-01,PCH,SUDESTE,1,1475.0,1.0362,1528.395,1528.0,1528.0,0.0
2027-09-01,PCH,SUDESTE,1,1383.0,1.0233,1415.2239000000002,1415.0,1415.0,0.0
2027-10-01,PCH,SUDESTE,1,1630.0,1.0241,1669.2830000000001,1669.0,1669.0,0.0
2027-11-01,PCH,SUDESTE,1,1983.0,1.0053,1993.5099000000002,1994.0,1994.0,0.0
2027-12-01,PCH,SUDESTE,1,2477.0,1.0072,2494.8344,2495.0,2495.0,0.0
2028-01-01,PCH,SUDESTE,1,2881.0,1.0024,2887.9143999999997,2888.0,2888.0,0.0
2028-02-01,PCH,SUDESTE,1,3079.0,0.9993,3076.8447,3077.0,3077.0,0.0
2028-03-01,PCH,SUDESTE,1,3057.0,1.0024,3064.3368,3064.0,3064.0,0.0
2028-04-01,PCH,SUDESTE,1,2747.0,1.0016,2751.3952,2751.0,2751.0,0.0
2028-05-01,PCH,SUDESTE,1,2291.0,1.015,2325.365,2325.0,2325.0,0.0
2028-06-01,PCH,SUDESTE,1,1932.0,1.025,1980.2999999999997,1980.0,1980.0,0.0
2028-07-01,PCH,SUDESTE,1,1651.0,1.0323,1704.3273,1704.0,1704.0,0.0
2028-08-01,PCH,SUDESTE,1,1476.0,1.0356,1528.5456000000001,1529.0,1529.0,0.0
2028-09-01,PCH,SUDESTE,1,1383.0,1.0238,1415.9154,1416.0,1416.0,0.0
2028-10-01,PCH,SUDESTE,1,1631.0,1.0237,1669.6547,1670.0,1670.0,0.0
2028-11-01,PCH,SUDESTE,1,1983.0,1.0053,1993.5099000000002,1994.0,1994.0,0.0
2028-12-01,PCH,SUDESTE,1,2476.0,1.0075,2494.57,2495.0,2495.0,0.0
2024-08-01,PCH,SUDESTE,2,1418.0,1.0016,1420.2688,1420.0,1420.0,0.0
2024-09-01,PCH,SUDESTE,2,1332.0,0.9992,1330.9343999999999,1331.0,1331.0,0.0
2024-10-01,PCH,SUDESTE,2,1573.0,0.9993,1571.8989,1572.0,1572.0,0.0
2024-11-01,PCH,SUDESTE,2,1912.0,0.9975,1907.22,1907.0,1907.0,0.0
2024-12-01,PCH,SUDESTE,2,2392.0,0.9983,2387.9336,2388.0,2388.0,0.0
2025-01-01,PCH,SUDESTE,2,2791.0,0.999,2788.209,2788.0,2788.0,0.0
2025-02-01,PCH,SUDESTE,2,2998.0,0.9981,2992.3038,2992.0,2992.0,0.0
2025-03-01,PCH,SUDESTE,2,2976.0,0.9971,2967.3696,2967.0,2967.0,0.0
2025-04-01,PCH,SUDESTE,2,2673.0,0.9978,2667.1194,2667.0,2667.0,0.0
2025-05-01,PCH,SUDESTE,2,2227.0,0.9985,2223.6595,2224.0,2224.0,0.0
2025-06-01,PCH,SUDESTE,2,1876.0,1.001,1877.8759999999997,1878.0,1878.0,0.0
2025-07-01,PCH,SUDESTE,2,1606.0,1.0012,1607.9272,1608.0,1608.0,0.0
2025-08-01,PCH,SUDESTE,2,1433.0,1.0022,1436.1526,1436.0,1436.0,0.0
2025-09-01,PCH,SUDESTE,2,1347.0,0.9988,1345.3836000000001,1345.0,1345.0,0.0
2025-10-01,PCH,SUDESTE,2,1589.0,0.9994,1588.0466,1588.0,1588.0,0.0
2025-11-01,PCH,SUDESTE,2,1930.0,0.9976,1925.3680000000002,1925.0,1925.0,0.0
2025-12-01,PCH,SUDESTE,2,2412.0,0.9983,2407.8995999999997,2408.0,2408.0,0.0
2026-01-01,PCH,SUDESTE,2,2806.0,0.999,2803.194,2803.0,2803.0,0.0
2026-02-01,PCH,SUDESTE,2,3006.0,0.998,2999.988,3000.0,3000.0,0.0
2026-03-01,PCH,SUDESTE,2,2997.0,0.9972,2988.6084,2989.0,2989.0,0.0
2026-04-01,PCH,SUDESTE,2,2692.0,0.9978,2686.0776,2686.0,2686.0,0.0
2026-05-01,PCH,SUDESTE,2,2243.0,0.9987,2240.0841,2240.0,2240.0,0.0
2026-06-01,PCH,SUDESTE,2,1891.0,1.0007,1892.3237,1892.0,1892.0,0.0
2026-07-01,PCH,SUDESTE,2,1618.0,1.0013,1620.1034000000002,1620.0,1620.0,0.0
2026-08-01,PCH,SUDESTE,2,1444.0,1.0023,1447.3211999999999,1447.0,1447.0,0.0
2026-09-01,PCH,SUDESTE,2,1355.0,0.9993,1354.0515,1354.0,1354.0,0.0
2026-10-01,PCH,SUDESTE,2,1606.0,1.0004,1606.6424,1607.0,1607.0,0.0
2026-11-01,PCH,SUDESTE,2,1953.0,0.9976,1948.3128000000002,1948.0,1948.0,0.0
2026-12-01,PCH,SUDESTE,2,2451.0,0.9984,2447.0784,2447.0,2447.0,0.0
2027-01-01,PCH,SUDESTE,2,2874.0,0.9992,2871.7008,2872.0,2872.0,0.0
2027-02-01,PCH,SUDESTE,2,3072.0,0.9981,3066.1632,3066.0,3066.0,0.0
2027-03-01,PCH,SUDESTE,2,3050.0,0.9972,3041.46,3041.0,3041.0,0.0
2027-04-01,PCH,SUDESTE,2,2740.0,0.9979,2734.246,2734.0,2734.0,0.0
2027-05-01,PCH,SUDESTE,2,2287.0,0.9988,2284.2556,2284.0,2284.0,0.0
2027-06-01,PCH,SUDESTE,2,1932.0,1.0004,1932.7728,1933.0,1933.0,0.0
2027-07-01,PCH,SUDESTE,2,1652.0,1.0019,1655.1388,1655.0,1655.0,0.0
2027-08-01,PCH,SUDESTE,2,1475.0,1.0019,1477.8025,1478.0,1478.0,0.0
