 XXX
       XXXJAN. XXXFEV. XXXMAR. XXXABR. XXXMAI. XXXJUN. XXXJUL. XXXAGO. XXXSET. XXXOUT. XXXNOV. XXXDEZ.
   1  SUDESTE        CONS.ITAIPU
2024                                                               18.     18.     18.     18.     18.
2025       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2026       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2027       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
2028       18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
POS        18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.     18.
   1  SUDESTE               ANDE
2024                                                             2099.   2184.   2292.   2487.   2781.
2025     2849.   2696.   2602.   2053.   1665.   1876.   2010.   2159.   2236.   2407.   2611.   2920.
2026     2992.   2831.   2732.   2156.   1748.   1970.   2111.   2267.   2348.   2527.   2741.   3066.
2027     3141.   2973.   2869.   2264.   1836.   2068.   2216.   2380.   2465.   2653.   2878.   3220.
2028     3298.   3014.   3012.   2377.   1928.   2172.   2327.   2499.   2588.   2786.   3022.   3381.
POS      3298.   3014.   3012.   2377.   1928.   2172.   2327.   2499.   2588.   2786.   3022.   3381.
   1  SUDESTE            MMGD SE
2024                                                             2813.   2655.   2383.   2284.   2368.
2025     2345.   2517.   2385.   2417.   2253.   2214.   2276.   2569.   2426.   2383.   2284.   2368.
2026     2345.   2517.   2385.   2417.   2253.   2214.   2276.   2569.   2426.   2383.   2284.   2368.
2027     2345.   2517.   2385.   2417.   2253.   2214.   2276.   2569.   2426.   2383.   2284.   2368.
2028     2345.   2517.   2385.   2417.   2253.   2214.   2276.   2569.   2426.   2383.   2284.   2368.
POS      2345.   2517.   2385.   2417.   2253.   2214.   2276.   2569.   2426.   2383.   2284.   2368.
   2      SUL             MMGD S
2024                                                             1078.   1022.   1087.   1207.   1226.
2025     1203.   1214.   1178.   1083.    924.    843.    893.   1050.    995.   1087.   1207.   1226.
2026     1203.   1214.   1178.   1083.    924.    843.    893.   1050.    995.   1087.   1207.   1226.
2027     1203.   1214.   1178.   1083.    924.    843.    893.   1050.    995.   1087.   1207.   1226.
2028     1203.   1214.   1178.   1083.    924.    843.    893.   1050.    995.   1087.   1207.   1226.
POS      1203.   1214.   1178.   1083.    924.    843.    893.   1050.    995.   1087.   1207.   1226.
   3 NORDESTE            MMGD NE
2024                                                              952.   1012.    923.    914.    885.
2025      865.    882.    884.    827.    782.    752.    784.    873.    927.    923.    914.    885.
2026      865.    882.    884.    827.    782.    752.    784.    873.    927.    923.    914.    885.
2027      865.    882.    884.    827.    782.    752.    784.    873.    927.    923.    914.    885.
2028      865.    882.    884.    827.    782.    752.    784.    873.    927.    923.    914.    885.
POS       865.    882.    884.    827.    782.    752.    784.    873.    927.    923.    914.    885.
   4    NORTE          BOA VISTA
2024                                                                0.      0.      0.      0.      0.
2025        0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.      0.
2026      166.    172.    187.    180.    173.    166.    157.    171.    182.    186.    173.    169.
2027      170.    176.    191.    185.    177.    170.    161.    175.    187.    190.    177.    173.
2028      174.    174.    196.    190.    182.    174.    165.    179.    192.    195.    181.    178.
POS       174.    174.    196.    190.    182.    174.    165.    179.    192.    195.    181.    178.
   4    NORTE             MMGD N
2024                                                              386.    379.    328.    314.    296.
2025      288.    293.    288.    297.    302.    317.    325.    352.    346.    328.    314.    296.
2026      294.    300.    295.    303.    308.    323.    331.    359.    353.    335.    321.    303.
2027      294.    300.    295.    303.    308.    323.    331.    359.    353.    335.    321.    303.
2028      294.    300.    295.    303.    308.    323.    331.    359.    353.    335.    321.    303.
POS       294.    300.    295.    303.    308.    323.    331.    359.    353.    335.    321.    303.
 999
