***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  CEPEL: NEWAVE     - Versao FPHA_NEWAVE                             *
*                                                                     *
***********************************************************************


____________________________________________________________________

 PMO - AGOSTO - 2024 - sombra Hibrido - NW Versao 29.4                           
____________________________________________________________________

----------------------------
Cortes da Evaporacao linear.                                                    
----------------------------
-----------------------------------------------------------------------------------------
IPER;       Indice do periodo                                                                                                                                                                           
USIH;       Numero de cadastro da usina hidroeletrica                                                                                                                                                   
NomeUsih;   Nome de cadastro da usina hidroeletrica                                                                                                                                                     
Der. Area;  Derivada do polinomio Area X Cota pela Cota.                                                                                                                                                
Der. Cota;  Derivada do polinomio Cota X Volume pelo Volume.                                                                                                                                            
Vol. Ref.;  Volume de referencia para a montagem da equacao linear para a evaporacao                                                                                                                    
Evap. Ref.; Evaporacao de referencia para a montagem da equacao linear para a evaporacao.                                                                                                               
Coef. Vol.; Coeficiente para o volume na equacao de evaporacao linear.                                                                                                                                  
Rhs. Vol.;  RHS da equacao de evaporacao linear.                                                                                                                                                        
-----------------------------------------------------------------------------------------

@Tabela
-----;-----;--------------;----------------------;----------------------;-----------;-----------;-----------------;------------;
IPER ;USIH ;   NomeUsih   ;      Der. Area       ;      Der. Cota       ; Vol. Ref. ;Evap. Ref. ;   Coef. Vol.    ; Rhs. Vol.  ;
  -  ;  -  ;      -       ;        km2/m         ;        m/hm3         ;    HM3    ;    HM3    ;      1/hm3      ;    hm3     ;
-----;-----;--------------;----------------------;----------------------;-----------;-----------;-----------------;------------;
   1 ; 004 ; FUNIL-GRANDE ;         0.0000000000 ;         0.0000000000 ;   265.86  ;     0.23  ;    0.0000000000 ;     0.2263 ;
   1 ; 020 ; BATALHA      ;         5.8940005919 ;         0.0101846664 ;  1105.83  ;     0.00  ;    0.0000000000 ;     0.0000 ;
   1 ; 021 ; SERRA FACAO  ;         5.2241999571 ;         0.0060560175 ;  3475.50  ;     0.94  ;    0.0000949135 ;     0.6163 ;
   1 ; 027 ; CAPIM BRANC1 ;         0.9244795913 ;         0.0586900982 ;   234.70  ;     0.06  ;    0.0000542578 ;     0.0618 ;
   1 ; 028 ; CAPIM BRANC2 ;         0.0000000000 ;         0.0000000000 ;   867.55  ;     0.11  ;    0.0000000000 ;     0.1085 ;
   1 ; 029 ; CORUMBA IV   ;         5.7629394348 ;         0.0072726664 ;  3322.30  ;     2.90  ;    0.0003981634 ;     2.5940 ;
   1 ; 048 ; PIRAJU       ;         0.0000000000 ;         0.0000000000 ;   105.42  ;     0.38  ;    0.0000000000 ;     0.3825 ;
   1 ; 066 ; ITAIPU       ;         0.0000000000 ;         0.0000000000 ; 27914.01  ;    18.18  ;    0.0000000000 ;    18.1787 ;
   1 ; 131 ; NILO PECANHA ;         0.0000000000 ;         0.0000000000 ;     9.00  ;     0.00  ;    0.0000000000 ;     0.0000 ;
   1 ; 132 ; FONTES       ;         0.0000000000 ;         0.0000000000 ;   393.81  ;     0.00  ;    0.0000000000 ;     0.0000 ;
   1 ; 141 ; BAGUARI      ;         0.0000000000 ;         0.0000000000 ;    32.46  ;    -0.14  ;    0.0000000000 ;    -0.1403 ;
   1 ; 153 ; SAO DOMINGOS ;         0.0000000000 ;         0.0000000000 ;   131.30  ;     0.25  ;    0.0000000000 ;     0.2460 ;
   1 ; 155 ; RETIRO BAIXO ;         3.4001211534 ;         0.0489356309 ;   221.15  ;    -0.45  ;   -0.0017470643 ;    -0.3761 ;
   1 ; 156 ; TRES MARIAS  ;        31.4633492301 ;         0.0013346488 ; 11889.00  ;    -0.72  ;   -0.0000209963 ;    -0.3970 ;
   1 ; 162 ; QUEIMADO     ;         2.8833206884 ;         0.0312876246 ;   326.12  ;     0.71  ;    0.0009472287 ;     0.2725 ;
   1 ; 195 ; JAURU        ;         0.0000000000 ;         0.0000000000 ;    16.92  ;     0.04  ;    0.0000000000 ;     0.0363 ;
   1 ; 196 ; GUAPORE      ;         0.0000000000 ;         0.0000000000 ;    22.46  ;     0.07  ;    0.0000000000 ;     0.0656 ;
   1 ; 203 ; CORUMBA III  ;         3.5565114752 ;         0.0144885689 ;   840.50  ;     0.78  ;    0.0003091726 ;     0.7005 ;
   1 ; 227 ; SINOP        ;        21.5870189741 ;         0.0046111670 ;  2041.80  ;    13.30  ;    0.0012940375 ;    10.6317 ;
   1 ; 228 ; COLIDER      ;         0.0000000000 ;         0.0000000000 ;  1495.39  ;     3.27  ;    0.0000000000 ;     3.2706 ;
   1 ; 229 ; TELES PIRES  ;         0.0000000000 ;         0.0000000000 ;   961.11  ;     5.56  ;    0.0000000000 ;     5.5602 ;
   1 ; 230 ; SAO MANOEL   ;         0.0000000000 ;         0.0000000000 ;   566.12  ;     2.69  ;    0.0000000000 ;     2.6877 ;
   1 ; 241 ; SLT VERDINHO ;         0.0000000000 ;         0.0000000000 ;   392.58  ;     0.51  ;    0.0000000000 ;     0.5117 ;
   1 ; 249 ; OURINHOS     ;         0.0000000000 ;         0.0000000000 ;    20.86  ;     0.13  ;    0.0000000000 ;     0.1256 ;
   1 ; 251 ; SERRA MESA   ;        36.6920779978 ;         0.0008515170 ; 32775.00  ;    32.13  ;    0.0004217930 ;    13.8881 ;
   1 ; 252 ; CANA BRAVA   ;         0.0000000000 ;         0.0000000000 ;  2237.79  ;     4.30  ;    0.0000000000 ;     4.2997 ;
   1 ; 253 ; SAO SALVADOR ;         0.0000000000 ;         0.0000000000 ;   936.28  ;     3.33  ;    0.0000000000 ;     3.3280 ;
   1 ; 257 ; PEIXE ANGIC  ;        29.1215800594 ;         0.0038346431 ;  2476.85  ;     6.34  ;    0.0013400504 ;     5.6330 ;
   1 ; 261 ; LAJEADO      ;         0.0000000000 ;         0.0000000000 ;  5003.06  ;     7.51  ;    0.0000000000 ;     7.5120 ;
   1 ; 262 ; SALTO        ;         0.0000000000 ;         0.0000000000 ;   820.42  ;     0.72  ;    0.0000000000 ;     0.7229 ;
   1 ; 276 ; RONDON II    ;         6.6845410819 ;         0.0147589831 ;   335.23  ;     0.78  ;    0.0006412707 ;     0.5964 ;
   1 ; 281 ; PONTE PEDRA  ;         0.0000000000 ;         0.0000000000 ;    92.56  ;     0.31  ;    0.0000000000 ;     0.3056 ;
   1 ; 285 ; JIRAU        ;         0.0000000000 ;         0.0000000000 ;  2746.70  ;   -24.85  ;    0.0000000000 ;   -24.8524 ;
   1 ; 287 ; STO ANTONIO  ;         0.0000000000 ;         0.0000000000 ;  2282.80  ;   -23.41  ;    0.0000000000 ;   -23.4064 ;
   1 ; 290 ; ESPORA       ;         2.4223106383 ;         0.0375607731 ;   140.00  ;     0.25  ;    0.0004549193 ;     0.1899 ;
   1 ; 304 ; ITIQUIRA I   ;         0.0000000000 ;         0.0000000000 ;     4.99  ;     0.03  ;    0.0000000000 ;     0.0252 ;
   1 ; 305 ; ITIQUIRA II  ;         0.0000000000 ;         0.0000000000 ;     1.00  ;     0.00  ;    0.0000000000 ;     0.0012 ;
   1 ; 309 ; JURUENA      ;         0.0000000000 ;         0.0000000000 ;     2.93  ;     0.01  ;    0.0000000000 ;     0.0109 ;
   1 ; 310 ; DARDANELOS   ;         0.0000000000 ;         0.0000000000 ;     0.89  ;     0.01  ;    0.0000000000 ;     0.0074 ;
   1 ; 311 ; CACU         ;         0.8232674903 ;         0.0630606456 ;   211.60  ;     0.19  ;    0.0003114947 ;     0.1804 ;
   1 ; 312 ; B. COQUEIROS ;         0.0000000000 ;         0.0000000000 ;   321.43  ;     0.31  ;    0.0000000000 ;     0.3140 ;
   1 ; 315 ; FOZ R. CLARO ;         0.0000000000 ;         0.0000000000 ;    96.72  ;    -0.13  ;    0.0000000000 ;    -0.1307 ;
   1 ; 319 ; FICT.MAUA    ;         2.0600012130 ;         0.0134065382 ;  1805.00  ;    -2.41  ;   -0.0004418798 ;    -2.1135 ;
   1 ; 117 ; GUARAPIRANGA ;         2.4982024277 ;         0.0438224963 ;    95.37  ;     0.27  ;    0.0006568648 ;     0.1438 ;
   1 ; 118 ; BILLINGS     ;         6.7793046992 ;         0.0103445431 ;   566.82  ;     0.85  ;    0.0003506440 ;     0.4495 ;
   1 ; 119 ; HENRY BORDEN ;         0.0000000000 ;         0.0000000000 ;     0.46  ;     0.00  ;    0.0000000000 ;     0.0000 ;
   1 ; 120 ; JAGUARI      ;         1.4993524354 ;         0.0237244119 ;   839.50  ;    -1.29  ;   -0.0005513544 ;    -0.8561 ;
   1 ; 121 ; PARAIBUNA    ;         4.1064655618 ;         0.0070834859 ;  3414.00  ;    -4.91  ;   -0.0005090416 ;    -3.5709 ;
   1 ; 122 ; SANTA BRANCA ;         1.0790113542 ;         0.0553053826 ;   285.00  ;    -0.48  ;   -0.0007459392 ;    -0.2486 ;
   1 ; 123 ; FUNIL        ;         1.1211789397 ;         0.0334898327 ;   585.50  ;    -1.17  ;   -0.0007509619 ;    -0.7180 ;
   1 ; 124 ; LAJES        ;         0.0000000000 ;         0.0465029191 ;   222.68  ;    -1.14  ;    0.0000000000 ;    -1.1400 ;
   1 ; 126 ; PICADA       ;         0.0000000000 ;         0.0000000000 ;     6.85  ;    -0.04  ;    0.0000000000 ;    -0.0361 ;
   1 ; 127 ; SOBRAGI      ;         0.0000000000 ;         0.0000000000 ;     0.09  ;     0.00  ;    0.0000000000 ;    -0.0034 ;
   1 ; 129 ; SIMPLICIO    ;         0.0000000000 ;         0.0000000000 ;    13.45  ;    -0.51  ;    0.0000000000 ;    -0.5112 ;
   1 ; 130 ; ILHA POMBOS  ;         0.0000000000 ;         0.0000000000 ;     5.79  ;     0.06  ;    0.0000000000 ;     0.0640 ;
   1 ; 133 ; P. PASSOS    ;         0.0000000000 ;         0.0000000000 ;    16.26  ;    -0.04  ;    0.0000000000 ;    -0.0429 ;
   1 ; 185 ; BARRA BRAUNA ;         0.0000000000 ;         0.0000000000 ;    34.00  ;    -0.07  ;    0.0000000000 ;    -0.0688 ;
   1 ; 134 ; SALTO GRANDE ;         0.0000000000 ;         0.0000000000 ;    67.86  ;    -0.25  ;    0.0000000000 ;    -0.2494 ;
   1 ; 135 ; P. ESTRELA   ;         0.1222219020 ;         0.2717388868 ;    72.50  ;    -0.09  ;   -0.0004317618 ;    -0.0807 ;
   1 ; 139 ; CANDONGA     ;         0.0000000000 ;         0.0000000000 ;    29.75  ;    -0.11  ;    0.0000000000 ;    -0.1087 ;
   1 ; 143 ; AIMORES      ;         0.0000000000 ;         0.0000000000 ;   179.25  ;    -0.70  ;    0.0000000000 ;    -0.7043 ;
   1 ; 144 ; MASCARENHAS  ;         0.0000000000 ;         0.0000000000 ;    21.68  ;    -0.18  ;    0.0000000000 ;    -0.1794 ;
   1 ; 145 ; SUICA        ;         0.0000000000 ;         0.0000000000 ;     0.35  ;     0.00  ;    0.0000000000 ;     0.0011 ;
   1 ; 192 ; GUILMAN-AMOR ;         0.0000000000 ;         0.0000000000 ;    11.33  ;    -0.04  ;    0.0000000000 ;    -0.0380 ;
   1 ; 193 ; SA CARVALHO  ;         0.0000000000 ;         0.0000000000 ;     1.53  ;    -0.01  ;    0.0000000000 ;    -0.0083 ;
   1 ; 217 ; ROSAL        ;         0.0000000000 ;         0.0000000000 ;    17.19  ;    -0.02  ;    0.0000000000 ;    -0.0166 ;
   1 ; 279 ; SAMUEL       ;        71.6445511158 ;         0.0024231160 ;  2218.33  ;    13.05  ;    0.0027776490 ;     5.9702 ;
   1 ; 148 ; IRAPE        ;         2.1079490813 ;         0.0099372161 ;  4115.93  ;    -1.80  ;   -0.0001885243 ;    -1.1079 ;
   1 ; 283 ; STA CLARA MG ;         0.0000000000 ;         0.0000000000 ;   148.40  ;    -0.19  ;    0.0000000000 ;    -0.1900 ;
   1 ; 001 ; CAMARGOS     ;         3.6059576891 ;         0.0181296041 ;   456.00  ;     0.00  ;    0.0000000000 ;     0.0000 ;
   1 ; 002 ; ITUTINGA     ;         0.0000000000 ;         0.0000000000 ;    10.64  ;     0.00  ;    0.0000000000 ;     0.0032 ;
   1 ; 006 ; FURNAS       ;        52.9171960114 ;         0.0009483728 ; 14341.50  ;    13.62  ;    0.0003262040 ;     8.0031 ;
   1 ; 007 ; M. DE MORAES ;         9.5047621539 ;         0.0051566642 ;  2790.00  ;     2.45  ;    0.0002940772 ;     1.7167 ;
   1 ; 008 ; ESTREITO     ;         0.0000000000 ;         0.0000000000 ;  1331.40  ;     0.47  ;    0.0000000000 ;     0.4653 ;
   1 ; 009 ; JAGUARA      ;         0.0000000000 ;         0.0000000000 ;   418.20  ;     0.27  ;    0.0000000000 ;     0.2712 ;
   1 ; 010 ; IGARAPAVA    ;         0.0000000000 ;         0.0000000000 ;   234.83  ;     0.42  ;    0.0000000000 ;     0.4160 ;
   1 ; 011 ; VOLTA GRANDE ;         0.0000000000 ;         0.0000000000 ;  2200.40  ;     1.81  ;    0.0000000000 ;     1.8144 ;
   1 ; 012 ; P. COLOMBIA  ;         0.0000000000 ;         0.0000000000 ;  1420.84  ;     1.30  ;    0.0000000000 ;     1.2951 ;
   1 ; 014 ; CACONDE      ;         1.0142200769 ;         0.0465772555 ;   303.00  ;     0.37  ;    0.0004251563 ;     0.1576 ;
   1 ; 015 ; E. DA CUNHA  ;         0.0000000000 ;         0.0000000000 ;    12.79  ;     0.02  ;    0.0000000000 ;     0.0235 ;
   1 ; 016 ; A.S.OLIVEIRA ;         0.0000000000 ;         0.0000000000 ;    22.75  ;     0.06  ;    0.0000000000 ;     0.0594 ;
   1 ; 017 ; MARIMBONDO   ;        17.7957914518 ;         0.0032533947 ;  3520.00  ;     3.66  ;    0.0003473804 ;     1.8363 ;
   1 ; 018 ; A. VERMELHA  ;        24.9762414715 ;         0.0018847878 ;  8440.50  ;     6.31  ;    0.0002824495 ;     4.8522 ;
   1 ; 034 ; I. SOLTEIRA  ;        39.2787702310 ;         0.0009090360 ; 18311.81  ;    17.68  ;    0.0002856465 ;    16.1113 ;
   1 ; 024 ; EMBORCACAO   ;         7.8310016499 ;         0.0031850576 ; 11197.00  ;     0.00  ;    0.0000000000 ;     0.0000 ;
   1 ; 025 ; NOVA PONTE   ;         8.5407091696 ;         0.0033108594 ;  7602.00  ;     4.75  ;    0.0002262167 ;     2.4014 ;
   1 ; 026 ; MIRANDA      ;         1.4658259321 ;         0.0207164895 ;  1047.00  ;     0.33  ;    0.0001062837 ;     0.3184 ;
   1 ; 030 ; CORUMBA I    ;         1.7540034513 ;         0.0224560616 ;   985.00  ;     0.09  ;    0.0000393880 ;     0.0479 ;
   1 ; 031 ; ITUMBIARA    ;        22.3332555697 ;         0.0018117569 ; 10800.00  ;     3.22  ;    0.0001213873 ;     1.7120 ;
   1 ; 032 ; CACH.DOURADA ;         0.0000000000 ;         0.0000000000 ;   464.97  ;     0.76  ;    0.0000000000 ;     0.7590 ;
   1 ; 033 ; SAO SIMAO    ;        24.7902202339 ;         0.0018635009 ;  9770.00  ;     6.94  ;    0.0003002779 ;     5.2736 ;
   1 ; 037 ; BARRA BONITA ;        15.4418711008 ;         0.0039127558 ;  1852.00  ;     5.31  ;    0.0006948331 ;     3.5320 ;
   1 ; 038 ; A.S. LIMA    ;         0.0000000000 ;         0.0000000000 ;   525.23  ;     1.31  ;    0.0000000000 ;     1.3135 ;
   1 ; 039 ; IBITINGA     ;         0.0000000000 ;         0.0000000000 ;   962.68  ;     2.18  ;    0.0000000000 ;     2.1816 ;
   1 ; 040 ; PROMISSAO    ;        16.4759239354 ;         0.0019749462 ;  6344.00  ;     7.94  ;    0.0002603125 ;     7.3870 ;
   1 ; 042 ; NAVANHANDAVA ;         0.0000000000 ;         0.0000000000 ;  2666.00  ;     3.39  ;    0.0000000000 ;     3.3920 ;
   1 ; 043 ; TRES IRMAOS  ;        27.2223430247 ;         0.0014408473 ; 11647.50  ;    11.09  ;    0.0003137859 ;    10.0084 ;
   1 ; 045 ; JUPIA        ;         0.0000000000 ;         0.0000000000 ;  3249.13  ;     5.89  ;    0.0000000000 ;     5.8860 ;
   1 ; 046 ; P. PRIMAVERA ;         0.0000000000 ;         0.0000000000 ; 16138.51  ;    17.97  ;    0.0000000000 ;    17.9707 ;
   1 ; 278 ; MANSO        ;        13.2953080577 ;         0.0030504947 ;  5861.50  ;     9.59  ;    0.0005880804 ;     7.8538 ;
   1 ; 047 ; A.A. LAYDNER ;        14.9846856680 ;         0.0025911672 ;  5425.50  ;     9.69  ;    0.0004853478 ;     8.1534 ;
   1 ; 049 ; CHAVANTES    ;        12.0401537215 ;         0.0028594499 ;  7274.50  ;     9.45  ;    0.0004647809 ;     8.0351 ;
   1 ; 050 ; L.N. GARCEZ  ;         0.0000000000 ;         0.0000000000 ;    39.01  ;     0.32  ;    0.0000000000 ;     0.3245 ;
   1 ; 051 ; CANOAS II    ;         0.0000000000 ;         0.0000000000 ;   144.69  ;     0.61  ;    0.0000000000 ;     0.6115 ;
   1 ; 052 ; CANOAS I     ;         0.0000000000 ;         0.0000000000 ;   205.82  ;     0.64  ;    0.0000000000 ;     0.6404 ;
   1 ; 061 ; CAPIVARA     ;        20.1868936523 ;         0.0021978940 ;  7678.00  ;     5.91  ;    0.0002883962 ;     4.2546 ;
   1 ; 062 ; TAQUARUCU    ;         0.0000000000 ;         0.0000000000 ;   649.62  ;     0.89  ;    0.0000000000 ;     0.8950 ;
   1 ; 063 ; ROSANA       ;         0.0000000000 ;         0.0000000000 ;  1847.58  ;     1.96  ;    0.0000000000 ;     1.9589 ;
