EMPRESA          COD USINA           UNTDDMMAAAA DUR.    POT.
XXAAAAAAAAAAA    XXXAAAAAAAAAAAAA    XXAXXXXXXXX XXX   XXXX.XX
13ELENUCLEAR      13ANGRA 2           1 12112024  40   1350.00
30KARKEY KARA    246KARKEY 019        1 01112024   1     18.32
30KARKEY KARA    246KARKEY 019        2 01112024   1     18.32
30KARKEY KARA    246KARKEY 019        3 05102024   1     18.32
30KARKEY KARA    246KARKEY 019        4 07112024   1     18.32
30KARKEY KARA    246KARKEY 019        5 09112024   1     18.32
30KARKEY KARA    246KARKEY 019        6 11102024   1     18.32
68PETROBRAS      110N.PIRATININGA     4 01112024   7     96.67
20DIFERENCIAL    249PORSUD I          1 10102024   1     19.32
20DIFERENCIAL    249PORSUD I          2 02102024   1     19.32
20DIFERENCIAL    249PORSUD I          3 12122024   1     19.32
20DIFERENCIAL    249PORSUD I          4 05102024   1     19.32
20DIFERENCIAL    249PORSUD I          5 20112024   1     19.32
20DIFERENCIAL    249PORSUD I          6 06122024   1     19.32
68PETROBRAS       90TERMOMACAE       11 01102024   3     45.86
68PETROBRAS       90TERMOMACAE       12 04102024  30     46.82
68PETROBRAS       90TERMOMACAE       19 04112024  30     46.19
68PETROBRAS       90TERMOMACAE       20 04122024  28     47.79
68PETROBRAS       68TRES LAGOAS       6 01102024  80     57.32
68PETROBRAS       64CANOAS            1 01102024   5    167.57
68PETROBRAS       64CANOAS            2 01102024   5     81.00
24ENGIE BRASI     25J.LACERDA B       1 01102024  60    110.00
17CANDEIAS        55GLOBAL II         3 01102024  20     34.72
21SUAPE II       170SUAPE II          1 01122024   2     22.43
21SUAPE II       170SUAPE II          2 01122024   7     22.43
21SUAPE II       170SUAPE II          3 01122024   2     22.43
21SUAPE II       170SUAPE II          4 01122024   7     22.43
21SUAPE II       170SUAPE II          7 01112024   2     22.43
21SUAPE II       170SUAPE II          8 01102024   2     22.43
21SUAPE II       170SUAPE II         10 01122024   2     22.43
21SUAPE II       170SUAPE II         11 01112024   7     22.43
21SUAPE II       170SUAPE II         13 01122024   7     22.43
21SUAPE II       170SUAPE II         14 01122024   2     22.43
21SUAPE II       170SUAPE II         15 01122024   7     22.43
21SUAPE II       170SUAPE II         17 01102024   2     22.43
68PETROBRAS       58TERMOCEARA        1 04112024   1     55.75
68PETROBRAS       58TERMOCEARA        2 21112024  12     57.11
68PETROBRAS       58TERMOCEARA        3 11112024   1     56.24
68PETROBRAS       58TERMOCEARA        4 11112024   1     53.89
68PETROBRAS       83VALE DO ACU       1 04112024  21    182.76
68PETROBRAS       83VALE DO ACU       2 01102024  10    185.14
37ELETRONORTE    201APARECIDA         1 30102024   1     40.00
37ELETRONORTE    201APARECIDA         2 02102024   1     40.00
37ELETRONORTE    201APARECIDA         4 13112024   1     43.00
37ELETRONORTE    140MAUA 3            1 04102024   3    189.55
37ELETRONORTE    140MAUA 3            2 01112024   3    189.55
